Mes,Anio,Euribor_1M,Euribor_6M,Euribor_12M
1,2020,0,0,-0.25
2,2020,0,0,-0.29
3,2020,0,0,-0.27
4,2020,0,0,-0.11
5,2020,0,0,-0.08
6,2020,0,0,-0.15
7,2020,0,0,-0.28
8,2020,0,0,-0.36
9,2020,0,0,-0.42
10,2020,0,0,-0.47
11,2020,0,0,-0.48
12,2020,0,0,-0.5
1,2021,-0.55,-0.53,-0.51
2,2021,-0.54,-0.52,-0.5
3,2021,-0.54,-0.52,-0.49
4,2021,-0.54,-0.52,-0.48
5,2021,-0.54,-0.51,-0.48
6,2021,-0.54,-0.52,-0.48
7,2021,-0.55,-0.52,-0.49
8,2021,-0.55,-0.53,-0.5
9,2021,-0.55,-0.52,-0.49
10,2021,-0.55,-0.53,-0.48
11,2021,-0.57,-0.53,-0.49
12,2021,-0.58,-0.55,-0.5
1,2022,-0.56,-0.53,-0.48
2,2022,-0.53,-0.48,-0.34
3,2022,-0.5,-0.42,-0.24
4,2022,-0.45,-0.31,0.01
5,2022,-0.39,-0.14,0.29
6,2022,-0.24,0.16,0.85
7,2022,0.04,0.47,0.99
8,2022,0.4,0.84,1.25
9,2022,1.01,1.6,2.23
10,2022,1.43,2,2.63
11,2022,1.83,2.32,2.83
12,2022,2.06,2.56,3.02
1,2023,2.35,2.86,3.34
2,2023,2.64,3.14,3.53
3,2023,2.91,3.27,3.65
4,2023,3.18,3.52,3.76
5,2023,3.37,3.68,3.86
6,2023,3.54,3.83,4.01
7,2023,3.67,3.94,4.15
8,2023,3.78,3.94,4.07
9,2023,3.88,4.03,4.15
10,2023,3.97,4.12,4.16
